Variant,ID,OOD,FGSM,Layer,Threshold,Mini,N-extract,N-train,Random seed,AUROC,AUROC-avg-std,FPR95,FPR95-avg-std,Logfile
DETR,BDD,OpenImages,8,,0.4,,2,2,1000,95.24,,19.83,,eval_BDD-DETR-fgsm-8-1000_extract_2_train_2.txt
DETR,BDD,OpenImages,8,,0.4,,2,3,2000,93.93,94.40±0.59,21.94,21.38±1.11,eval_BDD-DETR-fgsm-8-2000_extract_2_train_3.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.1,,2,1,0,86.82,,38.92,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_cnn_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.1,,2,2,1000,85.79,,41.15,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_cnn_extract_2_train_2_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.1,,2,3,2000,87.59,86.73±0.74,37.19,39.09±1.62,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_cnn_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.4,,2,1,0,88.6,,35.76,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_cnn_extract_2_train_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.4,,2,2,1000,87.59,,37.83,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_cnn_extract_2_train_2.txt
MS_DETR,BDD,OpenImages,8,ms_detr_cnn,0.4,,2,3,2000,89.24,88.48±0.68,34.08,35.89±1.53,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_cnn_extract_2_train_3.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.1,,2,1,0,51.49,,80.76,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_dec_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.1,,2,2,1000,48.6,,83.1,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_dec_extract_2_train_2_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.1,,2,3,2000,48.46,49.52±1.40,83.22,82.36±1.13,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_dec_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.4,,2,1,0,57.78,,97.87,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_dec_extract_2_train_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.4,,2,2,1000,58.54,,97.06,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_dec_extract_2_train_2.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_dec,0.4,,2,3,2000,54.43,56.92±1.79,97.86,97.60±0.38,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_dec_extract_2_train_3.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.1,,2,1,0,85.05,,37.3,,eval_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_2_train_1_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.1,,2,2,1000,83.3,,40.26,,eval_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_2_train_2_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.1,,2,3,2000,81.82,83.39±1.32,42.91,40.16±2.29,eval_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_2_train_3_th_0_dot_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,2,1,0,85.73,,36.21,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-0_ms_detr_tra_enc_extract_2_train_1.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,2,2,1000,87.56,,32.97,,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-1000_ms_detr_tra_enc_extract_2_train_2.txt
MS_DETR,BDD,OpenImages,8,ms_detr_tra_enc,0.4,,2,3,2000,86.58,86.62±0.75,35.13,34.77±1.35,eval_trainth04_testth01_BDD-MS_DETR-fgsm-8-2000_ms_detr_tra_enc_extract_2_train_3.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer1.0.downsample,0.4,,3,1,0,63.36,,80.78,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer1.0.downsample,0.4,,3,2,1000,61.4,,81.94,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer1.0.downsample,0.4,,3,3,2000,62.01,62.26±0.82,81.36,81.36±0.47,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer2.0.downsample,0.4,,3,1,0,67.02,,74.76,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer2.0.downsample,0.4,,3,2,1000,67.34,,75.34,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer2.0.downsample,0.4,,3,3,2000,67.68,67.35±0.27,75.15,75.08±0.24,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer3.0.downsample,0.4,,3,1,0,78.07,,58.64,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer3.0.downsample,0.4,,3,2,1000,77.58,,59.22,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer3.0.downsample,0.4,,3,3,2000,77.63,77.76±0.22,59.03,58.96±0.24,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer4.0.downsample,0.4,,3,1,0,83.48,,57.67,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer4.0.downsample,0.4,,3,2,1000,83.08,,58.06,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,backbone.0.body.layer4.0.downsample,0.4,,3,3,2000,82.44,83.00±0.43,60.58,58.77±1.29,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm1,0.4,,3,1,0,92.03,,23.3,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm1,0.4,,3,2,1000,91.08,,24.47,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm1,0.4,,3,3,2000,92.55,91.89±0.61,21.36,23.04±1.28,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm2,0.4,,3,1,0,90.34,,33.01,,eval_BDD-MS_DETR-fgsm-8-0_layer_features_seperate_extract_3_train_1_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm2,0.4,,3,2,1000,93.41,,23.69,,eval_BDD-MS_DETR-fgsm-8-1000_layer_features_seperate_extract_3_train_2_all_encoder_layers.txt
MS_DETR,BDD,COCO,8,res_conn_before_transformer.encoder.layers.0.norm2,0.4,,3,3,2000,91.94,91.90±1.25,25.44,27.38±4.04,eval_BDD-MS_DETR-fgsm-8-2000_layer_features_seperate_extract_3_train_3_all_encoder_layers.txt
